Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0200],13C1\1C2r1,Una,,,,,female,,,,,,,,,,,,,
[I0253],14C1+8C1r2E5,Aine,,,,,female,,,,,,,,,,,,,
[I0430],14C2=2C3r1N5,Siobhan,,,,,female,,,,,,,,,,,,,
[I0453],15C1+19CNN6,Neasa,,,,,female,,,,,,,,,,,,,
[I0444],15C1+1C2r1N4,Colm,,,,,male,,,,,,,,,,,,,
[I0285],15C1+4C2E5,Una,,,,,female,,,,,,,,,,,,,
[I0644],15C1+4C2N6,Treasa,,,,,female,,,,,,,,,,,,,
[I0251],15C1+9CNE6,Brendan,,,,,male,,,,,,,,,,,,,
[I0642],15C1-****4,Shan-Sean,,,,,male,,,,,,,,,,,,,
[I0643],15C1-****5,Colm-Donall,,,,,male,,,,,,,,,,,,,
[I0641],15C1-1CNN4,Tomas,,,,,male,,,,,,,,,,,,,
[I0445],15C1-20CNN4,Eilis,,,,,female,,,,,,,,,,,,,
[I0454],15C1^20CNN6,Rionai,,,,,female,,,,,,,,,,,,,
[I0437],15C2-****3,Brendan,,,,,female,,,,,,,,,,,,,
[I0287],16C1-4CNN5,Maire,,,,,female,,,,,,,,,,,,,
[I0582],16C1=4C3N6,Colm-Gasur,,,,,male,,,,,,,,,,,,,
[I0459],17C1+2C2N5,Maire,,,,,female,,,,,,,,,,,,,
[I0466],17C1+2C3dN5,Bothar,,,,,male,,,,,,,,,,,,,
[I0427],17C1+2CNE4,Brendan,,,,,male,,,,,,,,,,,,,
[I0468],17C1+3C2r1E6,Martha,,,,,female,,,,,,,,,,,,,
[I0340],17C1+5C3E5,Sile,,,,,female,,,,,,,,,,,,,
[I0426],17C1-****3,Sean,,,,,male,,,,,,,,,,,,,
[I0458],17C1-****4,Padraig,,,,,male,,,,,,,,,,,,,
[I0581],17C1-16CNN5,Aine,,,,,female,,,,,,,,,,,,,
[I0664],17C1-1CNN1,Roisin,,,,,female,,,,,,,,,,,,,
[I0425],17C1-1CNN3,Colm,,,,,male,,,,,,,,,,,,,
[I0660],17C1-26CNN1,Treasa,,,,,female,,,,,,,,,,,,,
[I0428],17C2+2CNE5,Brendan,,,,,male,,,,,,,,,,,,,
[I0160],18C1=00N,Grainne,,,,,female,,,,,,,,,,,,,
[I0147],18C1=2C2r1,Seosamh,,,,,male,,,,,,,,,,,,,
[I0450],19C1+15CNN6,Donnacha,,,,,male,,,,,,,,,,,,,
[I0441],19C1+6CNN5,Brian,,,,,male,,,,,,,,,,,,,
[I0443],19C1-****5,Brendan,,,,,male,,,,,,,,,,,,,
[I0467],19C1-2CNN5,Lil,,,,,female,,,,,,,,,,,,,
[I0452],19C1=1CNS6,Caitlin,,,,,female,,,,,,,,,,,,,
[I0451],19C1=1CNS6,Roisin,,,,,female,,,,,,,,,,,,,
[I0442],19C1\1CNE5,Sorcha,,,,,female,,,,,,,,,,,,,
[I0031],1C1+00NN4,Aine,,,,,female,,,,,,,,,,,,,
[I0157],1C1+0C2,Mairin,,,,,female,,,,,,,,,,,,,
[I0026],1C1+1C1mS4,Brian Gaisce,,,,,male,,,,,,,,,,,,,
[I0034],1C1+1C1mS4,Cait,,,,,female,,,,,,,,,,,,,
[I0025],1C1+1C1mS4,Liam,,,,,male,,,,,,,,,,,,,
[I0035],1C1+1C1mS4,Sile,,,,,female,,,,,,,,,,,,,
[I0213],1C1+1C1plS+20CNN5,Tomas-Liam,,,,,male,,,,,,,,,,,,,
[I0102],1C1+1C1xS5,Cait-Aine,,,,,female,,,,,,,,,,,,,
[I0192],1C1+1C2E5,Treasa,,,,,female,,,,,,,,,,,,,
[I0232],1C1+1C2E6,Alsun,,,,,female,,,,,,,,,,,,,
[I0230],1C1+1C2E6,Niall,,,,,male,,,,,,,,,,,,,
[I0186],1C1+1C2\12CN5,Gearoid,,,,,male,,,,,,,,,,,,,
[I0239],1C1+1C2dr1E6,Aisling,,,,,female,,,,,,,,,,,,,
[I0480],1C1+1C2r1E3,Fiona,,,,,female,,,,,,,,,,,,,
[I0605],1C1+1C2r1E5,Rionai,,,,,female,,,,,,,,,,,,,
[I0606],1C1+1C2r1E5,Tomas-Cearc,,,,,male,,,,,,,,,,,,,
[I0029],1C1+1CRE4,Deirdre,,,,,female,,,,,,,,,,,,,
[I0038],1C1+1CRE4,Sean-2,,,,,male,,,,,,,,,,,,,
[I0224],1C1+2C1dr1N6,Laoise,,,,,female,,,,,,,,,,,,,
[I0399],1C1+2C1mE5,Maoilliosa,,,,,male,,,,,,,,,,,,,
[I0240],1C1+2C1r1E\6C1r1E6,Muireann,,,,,female,,,,,,,,,,,,,
[I0027],1C1+2C2r1N4,Una,,,,,female,,,,,,,,,,,,,
[I0028],1C1+2C3E4,Tomas,,,,,male,,,,,,,,,,,,,
[I0271],1C1+2CNN4,Sean Cu,,,,,male,,,,,,,,,,,,,
[I0046],1C1+2CNN4,Sionnach,,,,,male,,,,,,,,,,,,,
[I0098],1C1+2CRS5,Aingeal,,,,,female,,,,,,,,,,,,,
[I0078],1C1+3C1mE,Eithne,,,,,female,,,,,,,,,,,,,
[I0024],1C1+3C3E4,Gobnait Alma,,,,,female,,,,,,,,,,,,,
[I0023],1C1+3C3E4,Nora,,,,,female,,,,,,,,,,,,,
[I0126],1C1+3C3E5,Cneasta,,,,,male,,,,,,,,,,,,,
[I0070],1C1+3C4S5,Brid,,,,,female,,,,,,,,,,,,,
[I0044],1C1+3CRN4,Brian Rua,,,,,male,,,,,,,,,,,,,
[I0610],1C1+4C1plE6,Caitlin,,,,,female,,,,,,,,,,,,,
[I0225],1C1+4C2r1N6,Orlaith,,,,,female,,,,,,,,,,,,,
[I0206],1C1+4C3dE5,Brian-Donall,,,,,male,,,,,,,,,,,,,
[I0363],1C1+6C1mS5,Tadhg,,,,,male,,,,,,,,,,,,,
[I0082],1C1+8CR5,Seamus,,,,,male,,,,,,,,,,,,,
[I0149],1C1+9C2E5,Mairtin,,,,,male,,,,,,,,,,,,,
[I0030],1C1+9C3NN4,Colm,,,,,male,,,,,,,,,,,,,
[I0477],1C1-****1,Tomai-Diabhal,,,,,male,,,,,,,,,,,,,
[I0198],1C1-****2,Eoghan,,,,,male,,,,,,,,,,,,,
[I0600],1C1-****2,Shan-Seosamh,,,,,male,,,,,,,,,,,,,
[I0216],1C1-****3,Sean-Mor,,,,,male,,,,,,,,,,,,,
[I0047],1C1-****4,Brendan,,,,,male,,,,,,,,,,,,,
[I0144],1C1-****4,Sean Poc,,,,,male,,,,,,,,,,,,,
[I0578],1C1-****4,Tomas-Cipini,,,,,male,,,,,,,,,,,,,
[I0519],1C1-00NN6,Marta,,,,,female,,,,,,,,,,,,,
[I0273],1C1-15CNN4,Fionnula,,,,,female,,,,,,,,,,,,,
[I0249],1C1-15CNN5,Maire,,,,,female,,,,,,,,,,,,,
[I0183],1C1-2C2dN4,Ruairi,,,,,male,,,,,,,,,,,,,
[I0203],1C1-2CNN4,Dearbhail,,,,,female,,,,,,,,,,,,,
[I0009],1C1-2CNS2,Roisin,,,,,female,,,,,,,,,,,,,
[I0010],1C1-2CNS2,Sean Ochan,,,,,male,,,,,,,,,,,,,
[I0579],1C1-4CNE5,Lorna,,,,,female,,,,,,,,,,,,,
[I0255],1C1-5CNN2,Realtan,,,,,female,,,,,,,,,,,,,
[I0778],1C1-7CNN3,Aine,,,,,female,,,,,,,,,,,,,
[I0722],1C1-7CNN4,Pluirin,,,,,female,,,,,,,,,,,,,
[I0138],1C1-99?NN3,Eadaoin,,,,,female,,,,,,,,,,,,,
[I0601],1C10-4CNE3,Aine,,,,,female,,,,,,,,,,,,,
[I0515],1C10=19CNN6,Colm,,,,,male,,,,,,,,,,,,,
[I0447],1C10=19CNS5,Brian,,,,,male,,,,,,,,,,,,,
[I0574],1C10=1CNE6\1C2N,Sean,,,,,male,,,,,,,,,,,,,
[I0495],1C10N5,Tomas,,,,,male,,,,,,,,,,,,,
[I0611],1C11+4C1r1E6,Sean,,,,,male,,,,,,,,,,,,,
[I0490],1C11-1C2dE5,Brian,,,,,male,,,,,,,,,,,,,
[I0548],1C11=00NN5,Colm,,,,,male,,,,,,,,,,,,,
[I0523],1C11\00NN6,Tomas,,,,,male,,,,,,,,,,,,,
[I0520],1C12+7C1mN6,Brian,,,,,male,,,,,,,,,,,,,
[I0663],1C12-17CNN1,Colm,,,,,male,,,,,,,,,,,,,
[I0547],1C12=00NN5,Tomas,,,,,male,,,,,,,,,,,,,
[I0521],1C13=4C2r1N6,Brian,,,,,male,,,,,,,,,,,,,
[I0546],1C14=00NN5,Brian,,,,,male,,,,,,,,,,,,,
[I0577],1C15-****3,Brian,,,,,male,,,,,,,,,,,,,
[I0743],1C16-****4,Brian,,,,,male,,,,,,,,,,,,,
[I0734],1C17+9CNN3,Brian,,,,,male,,,,,,,,,,,,,
[I0080],1C1=00N,Caitriona,,,,,female,,,,,,,,,,,,,
[I0171],1C1=00NN5,Ciara,,,,,female,,,,,,,,,,,,,
[I0493],1C1=00NN5,Mairead,,,,,female,,,,,,,,,,,,,
[I0494],1C1=00NN5,Nollaig,,,,,male,,,,,,,,,,,,,
[I0551],1C1=00NN5,Y,,,,,female,,,,,,,,,,,,,
[I0522],1C1=00NN6,Micheal,,,,,male,,,,,,,,,,,,,
[I0487],1C1=00NN\00NN5,Niamh,,,,,female,,,,,,,,,,,,,
[I0575],1C1=1C1r1N6,Triona,,,,,female,,,,,,,,,,,,,
[I0569],1C1=23C1r1E6,Beibhinn,,,,,female,,,,,,,,,,,,,
[I0516],1C1=2C2r1N6,Daithi,,,,,male,,,,,,,,,,,,,
[I0107],1C1=2CRE5,Padraig,,,,,male,,,,,,,,,,,,,
[I0148],1C1N5,Neasa,,,,,female,,,,,,,,,,,,,
[I0783],1C1^7C1r1N4,Risteard,,,,,male,,,,,,,,,,,,,
[I0790],1C1^7C3r2E6,Proinnsias,,,,,male,,,,,,,,,,,,,
[I0014],1C1^7CNE3,Brian,,,,,male,,,,,,,,,,,,,
[I0079],1C2+1C1pE6,Una,,,,,female,,,,,,,,,,,,,
[I0207],1C2+1C1plS=00NN5,Caitriona,,,,,female,,,,,,,,,,,,,
[I0193],1C2+1C2N\2C2E5,Ciara,,,,,female,,,,,,,,,,,,,
[I0236],1C2+1C2dr1E5,Niall,,,,,male,,,,,,,,,,,,,
[I0612],1C2+1C2r1E6,Niamh,,,,,female,,,,,,,,,,,,,
[I0100],1C2+4C3dE5,Sean,,,,,male,,,,,,,,,,,,,
[I0015],1C2+7CNS3,Brian,,,,,male,,,,,,,,,,,,,
[I0042],1C2+7CNS3,Tomas,,,,,male,,,,,,,,,,,,,
[I0184],1C2+8CNE5,Brid,,,,,female,,,,,,,,,,,,,
[I0150],1C2+9C1r1E5,Sile,,,,,female,,,,,,,,,,,,,
[I0233],1C2-****4,Brendan,,,,,male,,,,,,,,,,,,,
[I0484],1C2-****4,Cneasta,,,,,male,,,,,,,,,,,,,
[I0604],1C2-****4,Padraig,,,,,male,,,,,,,,,,,,,
[I0085],1C2-0CNN2,Colm,,,,,male,,,,,,,,,,,,,
[I0199],1C2-13CN,Cait,,,,,female,,,,,,,,,,,,,
[I0045],1C2-1C1pN4,Liam,,,,,male,,,,,,,,,,,,,
[I0507],1C2-1C2dE5,Mairin,,,,,female,,,,,,,,,,,,,
[I0215],1C2-4CNN2,Eadaoin,,,,,female,,,,,,,,,,,,,
[I0043],1C2-4CNN3,Aine,,,,,female,,,,,,,,,,,,,
[I0744],1C2-7C1xN5,Caitlin,,,,,female,,,,,,,,,,,,,
[I0489],1C2-7CNE5,Treasa,,,,,female,,,,,,,,,,,,,
[I0670],1C2-9CNN2,Eilis,,,,,female,,,,,,,,,,,,,
[I0172],1C2=00NN5,Nora,,,,,female,,,,,,,,,,,,,
[I0552],1C2=5CNN5,Fionnula,,,,,female,,,,,,,,,,,,,
[I0827],1C2=7C3r1E7,Risteard,,,,,male,,,,,,,,,,,,,
[I0208],1C2N5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0488],1C2\00NN\00NN5,Neasa,,,,,female,,,,,,,,,,,,,
[I0166],1C2\8CNN5,Roisin,,,,,female,,,,,,,,,,,,,
[I0076],1C3+1C1pE5,Brian,,,,,male,,,,,,,,,,,,,
[I0362],1C3+21CNN\6C1mS\19CNE5,Niall,,,,,male,,,,,,,,,,,,,
[I0099],1C3+2CRS5,Liam,,,,,male,,,,,,,,,,,,,
[I0077],1C3+3C2E,Tomas,,,,,male,,,,,,,,,,,,,
[I0069],1C3+3C4S5,Aine,,,,,female,,,,,,,,,,,,,
[I0159],1C3+3CN,Sean,,,,,male,,,,,,,,,,,,,
[I0250],1C3+9CNN5,Brendan,,,,,male,,,,,,,,,,,,,
[I0806],1C3+9CNS3,Eilis,,,,,female,,,,,,,,,,,,,
[I0518],1C3-00NN6,Treasa,,,,,female,,,,,,,,,,,,,
[I0603],1C3-1C1pN4,Brid,,,,,female,,,,,,,,,,,,,
[I0202],1C3-2C2dS4,Sile,,,,,female,,,,,,,,,,,,,
[I0089],1C3-2CNN3,Una,,,,,female,,,,,,,,,,,,,
[I0295],1C3-4C2E5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0485],1C3-4CNN4,Cait,,,,,female,,,,,,,,,,,,,
[I0361],1C3-6CNE5,Roisin,,,,,female,,,,,,,,,,,,,
[I0169],1C3=00NN5,Colm,,,,,male,,,,,,,,,,,,,
[I0524],1C3\00NN6,Neasa,,,,,female,,,,,,,,,,,,,
[I0189],1C4+1C2S5,Colm,,,,,male,,,,,,,,,,,,,
[I0205],1C4+2C2dE5,Liam,,,,,male,,,,,,,,,,,,,
[I0185],1C4+9CNE5,Sean,,,,,male,,,,,,,,,,,,,
[I0086],1C4-0CNN2,Tomas,,,,,male,,,,,,,,,,,,,
[I0424],1C4-17CNN3,Roisin,,,,,female,,,,,,,,,,,,,
[I0725],1C4-20CNN2,Treasa,,,,,female,,,,,,,,,,,,,
[I0258],1C4-6CNN3,Sile,,,,,female,,,,,,,,,,,,,
[I0662],1C4-9CNN1,Neasa,,,,,female,,,,,,,,,,,,,
[I0170],1C4=00NN5,Aine,,,,,female,,,,,,,,,,,,,
[I0173],1C4=00NN5,Una,,,,,female,,,,,,,,,,,,,
[I0543],1C4=24CNN\0C2E5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0545],1C4=2C1r1N5,Cait,,,,,female,,,,,,,,,,,,,
[I0097],1C4=2CRE5,Brian,,,,,male,,,,,,,,,,,,,
[I0733],1C4\7C4N6,Brid,,,,,female,,,,,,,,,,,,,
[I0418],1C4^3C3E6,Niall,,,,,male,,,,,,,,,,,,,
[I0101],1C5+1C1xS5,Tomas,,,,,male,,,,,,,,,,,,,
[I0188],1C5+1C2S5,Aine,,,,,female,,,,,,,,,,,,,
[I0191],1C5+1C2S5,Colm,,,,,male,,,,,,,,,,,,,
[I0204],1C5+2C2dS\13C2r1N5,Sean,,,,,male,,,,,,,,,,,,,
[I0615],1C5+7CNN2,Liam,,,,,male,,,,,,,,,,,,,
[I0602],1C5-****3,Niall,,,,,male,,,,,,,,,,,,,
[I0617],1C5-4C1r1N4,Cait,,,,,female,,,,,,,,,,,,,
[I0218],1C5-4C1xN4,Una,,,,,female,,,,,,,,,,,,,
[I0167],1C5=00NN5,Brian,,,,,male,,,,,,,,,,,,,
[I0492],1C5=00NN5,Roisin,,,,,female,,,,,,,,,,,,,
[I0568],1C5=1C1r1N5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0805],1C5=7C3r1E7,Brid,,,,,female,,,,,,,,,,,,,
[I0190],1C6+1C2S5,Aine,,,,,female,,,,,,,,,,,,,
[I0613],1C6+1C2r1E6,Niall,,,,,male,,,,,,,,,,,,,
[I0352],1C6+4C2S6,Colm,,,,,male,,,,,,,,,,,,,
[I0182],1C6-****4,Brian,,,,,male,,,,,,,,,,,,,
[I0113],1C6-2C2N4,Tomas,,,,,male,,,,,,,,,,,,,
[I0221],1C6-2C2dS4,Una,,,,,female,,,,,,,,,,,,,
[I0542],1C6=00NN\23CNS5,Roisin,,,,,female,,,,,,,,,,,,,
[I0448],1C6=19CNS5,Sean,,,,,male,,,,,,,,,,,,,
[I0491],1C6\00NN\00NN5,Sile,,,,,female,,,,,,,,,,,,,
[I0187],1C7+1C2E5,Brian,,,,,male,,,,,,,,,,,,,
[I0407],1C7+2C1r1E6,Colm,,,,,male,,,,,,,,,,,,,
[I0544],1C7+4C1r1N5,Sile,,,,,female,,,,,,,,,,,,,
[I0686],1C7+7C1mN4,Roisin,,,,,female,,,,,,,,,,,,,
[I0257],1C7-2CNN3,Aine,,,,,female,,,,,,,,,,,,,
[I0168],1C7=00NN5,Tomas,,,,,male,,,,,,,,,,,,,
[I0514],1C7=00NN6,Una,,,,,female,,,,,,,,,,,,,
[I0486],1C7=00NN\00NN5,Sean,,,,,male,,,,,,,,,,,,,
[I0304],1C8+2C2E6,Tomas,,,,,male,,,,,,,,,,,,,
[I0231],1C8+4C1r1E6,Brian,,,,,male,,,,,,,,,,,,,
[I0780],1C8+7C1r1N5,Roisin,,,,,female,,,,,,,,,,,,,
[I0478],1C8-****1,Colm,,,,,male,,,,,,,,,,,,,
[I0517],1C8-00NN6,Una,,,,,female,,,,,,,,,,,,,
[I0777],1C8-6CNN3,Sile,,,,,female,,,,,,,,,,,,,
[I0549],1C8=00NN5,Aine,,,,,female,,,,,,,,,,,,,
[I0513],1C8=00NN6,Sean,,,,,male,,,,,,,,,,,,,
[I0353],1C9+4C2S6,Tomas,,,,,male,,,,,,,,,,,,,
[I0314],1C9+5C1r1E6,Brian,,,,,male,,,,,,,,,,,,,
[I0479],1C9-****2,Colm,,,,,male,,,,,,,,,,,,,
[I0550],1C9=00NN5,Una,,,,,female,,,,,,,,,,,,,
[I0541],1C9=23CNS5,Sean,,,,,male,,,,,,,,,,,,,
[I0576],1C9\1C2N6,Aine,,,,,female,,,,,,,,,,,,,
[I0599],20C1+1CNN5,Sile,,,,,female,,,,,,,,,,,,,
[I0846],20C1+20C1pN5,Sean,,,,,male,,,,,,,,,,,,,
[I0849],20C1+20C1xE6,Mairead,,,,,female,,,,,,,,,,,,,
[I0774],20C1+7C3r1E5,Lughan,,,,,male,,,,,,,,,,,,,
[I0860],20C1+7CNE5,Siobhan,,,,,female,,,,,,,,,,,,,
[I0809],20C1-****3,Proinnsias,,,,,male,,,,,,,,,,,,,
[I0810],20C1-****3,Seosamh,,,,,male,,,,,,,,,,,,,
[I0742],20C1-7CNN5,Fiona,,,,,female,,,,,,,,,,,,,
[I0728],20C1-9C1mS3,Aine,,,,,female,,,,,,,,,,,,,
[I0854],20C1=30GNN7,Laoise,,,,,female,,,,,,,,,,,,,
[I0801],20C1=7C1r1E6,Padraig,,,,,male,,,,,,,,,,,,,
[I0446],20C1^15C1xN5,Brendan,,,,,male,,,,,,,,,,,,,
[I0690],20C1^20CNE5,Colm,,,,,male,,,,,,,,,,,,,
[I0692],20C1^7C2r1S6,Roisin,,,,,female,,,,,,,,,,,,,
[I0691],20C1^7C2r1S6,Tomas,,,,,male,,,,,,,,,,,,,
[I0851],20C2+7C2E7,Lughan,,,,,male,,,,,,,,,,,,,
[I0808],20C2+7CNN3,Sile,,,,,female,,,,,,,,,,,,,
[I0726],20C2-1CNN2,Brendan,,,,,male,,,,,,,,,,,,,
[I0862],20C2-7C2E6,Sean,,,,,male,,,,,,,,,,,,,
[I0749],20C2-7CNE6,Roisin,,,,,female,,,,,,,,,,,,,
[I0813],20C2-7CNN4,Aine,,,,,female,,,,,,,,,,,,,
[I0852],20C2=00NN7,Colm,,,,,male,,,,,,,,,,,,,
[I0811],20C2^20C1pN4,Tomas,,,,,male,,,,,,,,,,,,,
[I0727],20C3+9C1mS3,Brendan,,,,,male,,,,,,,,,,,,,
[I0845],20C3-****4,Tomas,,,,,male,,,,,,,,,,,,,
[I0864],20C3-7C2E6,Colm,,,,,male,,,,,,,,,,,,,
[I0812],20C3^20C1pN4,Roisin,,,,,female,,,,,,,,,,,,,
[I0814],20C3^20CNE5,Sile,,,,,female,,,,,,,,,,,,,
[I0847],20C4+20C1pN5,Roisin,,,,,female,,,,,,,,,,,,,
[I0853],20C4+20C1plN7,Tomas,,,,,male,,,,,,,,,,,,,
[I0741],20C4-****5,Brendan,,,,,male,,,,,,,,,,,,,
[I0850],20C5+20C1plN7,Roisin,,,,,female,,,,,,,,,,,,,
[I0843],20C5-****3,Brendan,,,,,male,,,,,,,,,,,,,
[I0844],20C6-9CNN4,Brendan,,,,,male,,,,,,,,,,,,,
[I0848],20C7+20C1xE6,Brendan,,,,,male,,,,,,,,,,,,,
[I0449],21C1+1CNN5,Una,,,,,female,,,,,,,,,,,,,
[I0527],22C1=1CNN6,Orlaith,,,,,female,,,,,,,,,,,,,
[I0562],23C1-****4,Brian,,,,,male,,,,,,,,,,,,,
[I0538],23C1-****4,Liam,,,,,male,,,,,,,,,,,,,
[I0565],23C1=1C1r1E5,Padraig,,,,,male,,,,,,,,,,,,,
[I0563],23C1=1CNE5,Aine,,,,,female,,,,,,,,,,,,,
[I0540],23C1=1CNS5,Treasa,,,,,female,,,,,,,,,,,,,
[I0564],23C1=23C1r1E5,Ciaran,,,,,male,,,,,,,,,,,,,
[I0570],23C1=23C1r1E6,Aoife,,,,,female,,,,,,,,,,,,,
[I0571],23C1^25CNE6,Blaithin,,,,,female,,,,,,,,,,,,,
[I0539],23C2\1CNS5,Liam,,,,,male,,,,,,,,,,,,,
[I0554],24C1=1CNN5,Eilis,,,,,female,,,,,,,,,,,,,
[I0567],25C1^23CNE6,Muiris,,,,,male,,,,,,,,,,,,,
[I0730],26C1-****3,Brian,,,,,male,,,,,,,,,,,,,
[I0659],26C1-17CNN1,Colm,,,,,male,,,,,,,,,,,,,
[I0732],26C1-1CNN4,Eilis-Fiona,,,,,female,,,,,,,,,,,,,
[I0665],26C1-7CNN2,Caitlin,,,,,female,,,,,,,,,,,,,
[I0729],26C2-****2,Colm,,,,,male,,,,,,,,,,,,,
[I0731],26C2-****4,Brian,,,,,male,,,,,,,,,,,,,
[I0833],27C1^7C2E7,Deaglan,,,,,male,,,,,,,,,,,,,
[I0724],28C1-7CNN3,Aine,,,,,female,,,,,,,,,,,,,
[I0753],29C1+7C2E6,Rionai,,,,,female,,,,,,,,,,,,,
[I0464],2C1+17C2N5,Piaras,,,,,male,,,,,,,,,,,,,
[I0301],2C1+1C2E6,Beibhinn,,,,,female,,,,,,,,,,,,,
[I0018],2C1+1C2r1N3,Eoghan-Preacha,,,,,male,,,,,,,,,,,,,
[I0036],2C1+1C3E3,Aine,,,,,female,,,,,,,,,,,,,
[I0105],2C1+1CRS,Caoimhe,,,,,female,,,,,,,,,,,,,
[I0264],2C1+2C1pE4,Sean-Donall,,,,,male,,,,,,,,,,,,,
